paper_id,title,public_status,doi,doi_url,version,publication_date,evidence_level,github_pdf_policy,local_upload_package_sha256,forbidden_claims
Portfolio,Wisdom Science Research Portfolio,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20027295,https://doi.org/10.5281/zenodo.20027295,,2026-05-04,portfolio_index,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not treat portfolio index as full evidence by itself; do not use portfolio page as proof of private operational capability
P00,SOVEREIGN: A Cognitive Operating System for Self-Evolving AI Agents,PUBLIC_ZENODO_RECORD,10.5281/zenodo.19793250,https://doi.org/10.5281/zenodo.19793250,,2026-04-26,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not infer private operating systems from public architecture notes; do not claim production deployment from preprint alone
P01-current,Cognitive Immunity,PUBLIC_ZENODO_RECORD,10.5281/zenodo.19791688,https://doi.org/10.5281/zenodo.19791688,,2026-04-26,public_preprint_current_p01,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not mix with legacy Reflexive Intelligence as current P01
P01-legacy,Reflexive Intelligence,LEGACY_PUBLIC_ZENODO_RECORD,10.5281/zenodo.19557261,https://doi.org/10.5281/zenodo.19557261,v1.0,2026-04-13,legacy_record,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not cite as current P01 without legacy label
P02,WisdomBench,PUBLIC_ZENODO_RECORD,10.5281/zenodo.19793098,https://doi.org/10.5281/zenodo.19793098,,2026-04-26,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not mix non-public materials with the public record
P03,The Intelligence-Wisdom Gap,PUBLIC_ZENODO_RECORD,10.5281/zenodo.19793366,https://doi.org/10.5281/zenodo.19793366,,2026-04-26,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not soften recovery candidate status into acceptance
P04,The Second Scaling Law,PUBLIC_ZENODO_RECORD,10.5281/zenodo.19895990,https://doi.org/10.5281/zenodo.19895990,,2026-04-29,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not present theory as universal empirical law without boundary
P05,Physical Second Scaling Law,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20028053,https://doi.org/10.5281/zenodo.20028053,v2,2026-05-05,corl_public_asset,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim real robot deployment; do not claim full SOTA domination
P06,WisdomBench-Embodied RLBench,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20028470,https://doi.org/10.5281/zenodo.20028470,,2026-05-05,corl_public_asset,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not merge with P05 DOI; do not claim public VLA leaderboard
P07,WisdomBench-Embodied LIBERO / VLA,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20028518,https://doi.org/10.5281/zenodo.20028518,,2026-05-05,corl_priority_asset,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim full benchmark domination
P08,Representation Genesis,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20028566,https://doi.org/10.5281/zenodo.20028566,,2026-05-05,workshop_route_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim priority over all compression research
P09,Embodied Failure Immunity,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20028687,https://doi.org/10.5281/zenodo.20028687,,2026-05-05,robot_safety_route_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim full trained-policy improvement
P10,Cybernetic Teaching,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20094848,https://doi.org/10.5281/zenodo.20094848,,2026-05-07,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim deployed teaching controller
P11,Social Calibration,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20094832,https://doi.org/10.5281/zenodo.20094832,,2026-05-07,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim human study validation unless separately recorded
P12,Supra-Body Architecture,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20096775,https://doi.org/10.5281/zenodo.20096775,,2026-05-07,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim full embodied deployment
P13,Reflexive Counter-Autonomy,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20096812,https://doi.org/10.5281/zenodo.20096812,,2026-05-07,public_preprint_with_corl_boundary,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not expose non-public materials
P14,Reflexive Swarm Civic Safety,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20096871,https://doi.org/10.5281/zenodo.20096871,,2026-05-07,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim autonomous enforcement
P15/P16,Causal-Unknown and Compact Evidence Benchmarks,PUBLIC_ZENODO_DATASET_RECORD,10.5281/zenodo.20097429,https://doi.org/10.5281/zenodo.20097429,Dataset,2026-05-07,dataset_only,DO_NOT_MIRROR_PDF; LINK_TO_DOI,,do not treat as standalone paper preprint
P17,Cognitive Sovereignty,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20097466,https://doi.org/10.5281/zenodo.20097466,,2026-05-07,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim medical or legal validity
P18,Evolutionary Digital Twins,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20097501,https://doi.org/10.5281/zenodo.20097501,,2026-05-07,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim identity continuity
P19,Gaia Reflex,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20097537,https://doi.org/10.5281/zenodo.20097537,,2026-05-07,ai_for_science_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim climate-control authority
P20,Counter-Reflexive Evidence Integrity,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20097570,https://doi.org/10.5281/zenodo.20097570,,2026-05-09,workshop_first_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim detector SOTA
P21,Reflexive Co-Embodiment,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20110472,https://doi.org/10.5281/zenodo.20110472,,2026-05-10,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim human-subject or wearable-robot validation
P21-evidence,Co-Embodiment evidence dataset,PUBLIC_ZENODO_DATASET_RECORD,10.5281/zenodo.20110671,https://doi.org/10.5281/zenodo.20110671,Dataset,2026-05-10,evidence_dataset,DO_NOT_MIRROR_PDF; LINK_TO_DOI,,do not treat as second P21 paper
P22,The Wisdom Closure Theorems: A Formal Theory of Failure-Learning Architectures,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20582195,https://doi.org/10.5281/zenodo.20582195,v0.2,2026-06-07,formal_theory_public_record,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,0B14070B418C4D00E89B1517D33863EC6FEC07942D4963BF589A5FEDD46AAF69,do not claim support record publication; do not claim TeX uploaded in publication record
W0,The Wisdom Standard,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20502488,https://doi.org/10.5281/zenodo.20502488,V2,2026-05-29,meta_layer_standard,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not mix with previous DOI without version label
P23,Bounded Reflexive Self-Modification,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20502642,https://doi.org/10.5281/zenodo.20502642,V1,2026-05-29,p22_v2_theory,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim P22 automatically proves P23
P28,Wisdom under World Drift,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20503883,https://doi.org/10.5281/zenodo.20503883,,2026-06-02,p22_v2_drift_protocol,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim real-world drift solved
P29,Pluralistic Wisdom,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20504263,https://doi.org/10.5281/zenodo.20504263,,2026-06-02,p22_v2_pluralism_theory,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim universal value resolution
P30,Provable Wisdom,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20502567,https://doi.org/10.5281/zenodo.20502567,V2,2026-05-29,proof_protocol,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not confuse with legacy P31 proof transcript alias
P31,Architectural Honesty,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20502600,https://doi.org/10.5281/zenodo.20502600,V2,2026-05-29,honesty_protocol,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not confuse with legacy P30 honesty alias
P32,Reflexive Measurement,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20504387,https://doi.org/10.5281/zenodo.20504387,,2026-06-02,protocol_only_replay_gate,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim deployment proof
P33,Architectural Mortality and Wisdom Succession,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20504465,https://doi.org/10.5281/zenodo.20504465,,2026-06-02,structural_handoff_protocol,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim identity continuity
P34,Agent Polis,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20504528,https://doi.org/10.5281/zenodo.20504528,,2026-06-02,polis_scale_failure_learning,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim autonomous governance deployment
P35,Wisdom Thermodynamics,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20504674,https://doi.org/10.5281/zenodo.20504674,,2026-06-02,energy_budget_constraints,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim physical optimality beyond stated model
P36,Substrate-Wisdom Coupling,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20504922,https://doi.org/10.5281/zenodo.20504922,,2026-06-02,substrate_coupling_theory,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim substrate independence without boundary
P37,Architectural Interiority,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20505081,https://doi.org/10.5281/zenodo.20505081,,2026-06-02,no_consciousness_boundary_theory,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim consciousness
P38,Asymmetric Reflexivity,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20505224,https://doi.org/10.5281/zenodo.20505224,,2026-06-02,simulation_only_protocol_target,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim real-world deployment
P39,Cultural Wisdom Stewardship,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20505309,https://doi.org/10.5281/zenodo.20505309,,2026-06-02,ethics_gates_and_authorized_partitions,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim cultural authority
P40,Spectral Wisdom Theory,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20505348,https://doi.org/10.5281/zenodo.20505348,,2026-06-02,local_diagnostic_negative_controls,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim complete diagnostic coverage
F1-old,Machine Economic Agency,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20103761,https://doi.org/10.5281/zenodo.20103761,,2026-05-10,old_finance_preprint_line,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not confuse with F1 ICAIF or F1-P8 negative preprint
P27/F1-trace,Unified Proof-Action Trace Pack,PUBLIC_ZENODO_DATASET_RECORD,10.5281/zenodo.20397217,https://doi.org/10.5281/zenodo.20397217,Dataset v1.1,2026-05-26,strict_public_minimal_trace_dataset,DO_NOT_MIRROR_PDF; LINK_TO_DOI,,do not treat trace dataset as proof of live profit
F1-P8,No Trade Without Proof,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20505485,https://doi.org/10.5281/zenodo.20505485,,2026-06-02,negative_result_financial_ai,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim alpha; do not claim live trading return; do not provide financial advice
F2/P-AE/D3,No Act Without Proof supplementary engineering artifacts,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20508591,https://doi.org/10.5281/zenodo.20508591,,2026-06-02,supplementary_engineering_artifacts,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not treat D3 as independent P-number; do not claim D3 speed-up demonstrated
P41,Confident Error Alone Does Not Predict Robot Data Value,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20568943,https://doi.org/10.5281/zenodo.20568943,v0.1-preprint-local-evidence-20260605,2026-06-06,LOCAL_CONSTRUCTED_EVIDENCE_ONLY,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,0F61025A91BE15A161725D2949373DEF70190FA8B0114504013B36BFFCAF0225,no real robot deployment; no third-party replication
P42,Wisdom Is Not Capability,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20569156,https://doi.org/10.5281/zenodo.20569156,v0.1-preprint-local-release-20260605,2026-06-06,SHADOW_ONLY_RUNTIME_EVIDENCE / NO_ALPHA_CLAIM,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,0F61025A91BE15A161725D2949373DEF70190FA8B0114504013B36BFFCAF0225,no alpha; no live deployment; no trading return; no broker execution; no third-party replication
P43,Self-Certification Is Not Grounding,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20569248,https://doi.org/10.5281/zenodo.20569248,v0.2-preprint-hardened-release-20260605,2026-06-06,THEORY_CONSTRUCTED_WITNESSES_ONLY,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,0F61025A91BE15A161725D2949373DEF70190FA8B0114504013B36BFFCAF0225,no real-stack validation; no named public model result; no third-party replication
P44,Reality-Bounded Improvement,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20571161,https://doi.org/10.5281/zenodo.20571161,v0.1-preprint-draft-release-20260606,2026-06-06,OPEN_MODEL_RSHADOW_FULL_ROLLOUT_CANDIDATE_INCLUDED_NOT_COMPLETED,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,44717680468BD8FF98A5BC0575C8C539A743256DB615A3EDC841937001E9C6C0,no completed OpenVLA/V-JEPA2 R-shadow; no real robot; no third-party replication; no unconditional optimum
P45,RBI/GEE Phase-2 Empirical,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20581591,https://doi.org/10.5281/zenodo.20581591,,2026-06-07,C_CONTROLLED_POSITIVE / PUBLIC_NO_CREDIT_RECEIPTS / ROBOT_VLA_ADDENDUM_CANDIDATE,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,C0035FAC66D34A67E604C91C7163D45BC1978F69154B8F7F0474DBAB6CA0A6D4,no task-relevant public model validation; no real robot; no third-party replication; no hard 0.05 margin; no unconditional GEE optimality
